type,term_id,name,slug,parent,normalized_name,blog_category
category,145,3D Printing,3d-printing,,3D Printing,Miniatures & Wargaming
category,2198,4X,4x,,4X,Strategy & 4X Games
category,1619,Action RPG,action-rpg,,Action RPG,RPGs (Video Games)
category,1656,Adventure,adventure,,Adventure,Indie Games
category,162,adventures in monopoly,adventures-in-monopoly,,Adventures in Monopoly,Indie Games
category,161,AIM,aim,,Adventures in Monopoly,Indie Games
category,154,aim,aim,,Adventures in Monopoly,Indie Games
category,1657,Android,android,,Android,Gaming Hardware & Platforms
category,416,Asides,asides,,Asides,Blogging & Meta
category,2133,Atari,atari,,Atari,Retro Gaming
category,276,Atari 2600,atari-2600-old,,Atari 2600,Retro Gaming
category,1837,Batman,batman,,Batman,Gaming Culture & Commentary
category,137,Blaugust,blaugust,,Blaugust,Blogging & Meta
category,1647,Blaugust 2022,blaugust-2022,blaugust,Blaugust 2022,Blogging & Meta
category,1947,Blaugust 2023,blaugust-2023,blaugust,Blaugust 2023,Blogging & Meta
category,2202,Blaugust 2024,blaugust-2024,blaugust,Blaugust 2024,Blogging & Meta
category,2396,Blaugust 2025,blaugust-2025,blaugust,Blaugust 2025,Blogging & Meta
category,277,blockchain,blockchain,,Blockchain,Gaming Industry & News
category,1531,Blockchain,blockchain,,Blockchain,Gaming Industry & News
category,1537,Browser Game,browser-game,,Browser Game,Gaming Hardware & Platforms
category,1484,Car Wars,car-wars,,Car Wars,Tabletop RPGs (TTRPGs)
category,271,Card Games,card-games,,Card Games,Board Games
category,359,city of heroes,city-of-heroes,,City of Heroes,Gaming Culture & Commentary
category,152,Comic,comic,,Comic,Gaming Culture & Commentary
category,153,comic,comic,,Comic,Gaming Culture & Commentary
category,163,comics,comics,,Comic,Gaming Culture & Commentary
category,417,cronous,cronous,,Cronous,Gaming Culture & Commentary
category,723,cronous,cronous,,Cronous,Gaming Culture & Commentary
category,267,CRPG,crpg,,CRPG,RPGs (Video Games)
category,1536,Crypto Game,crypto-game,blockchain,Crypto Game,Gaming Industry & News
category,1539,CryptoKitties,cryptokitties,browser-game,Cryptokitties,Gaming Industry & News
category,225,darkfall,darkfall,,Darkfall,MMOs
category,1836,DC Comics,dc-comics,,DC Comics,Gaming Culture & Commentary
category,344,dc universe online,dc-universe-online,,DC Universe Online,MMOs
category,1932,Diablo,diablo,,Diablo,RPGs (Video Games)
category,767,Doctor Who,doctor-who,,Doctor Who,Gaming Culture & Commentary
category,265,DOS games,dos-games,,DOS Games,Retro Gaming
category,1538,Dragonereum,dragonereum,browser-game,Dragonereum,Board Games
category,788,Dungeon Siege,ds,,Dungeon Siege,Gaming Culture & Commentary
category,2019,Dungeons &amp; Dragons,dungeons-dragons,,Dungeons & Dragons,Tabletop RPGs (TTRPGs)
category,151,Duolingo,duolingo,,Duolingo,"AI, Tools & Technology"
category,1608,Elden Ring,elden-ring,,Elden Ring,RPGs (Video Games)
category,148,Emulators,emulators,,Emulators,Retro Gaming
category,343,eve online,eve-online,,EVE Online,MMOs
category,38,everquest,everquest,,EverQuest,MMOs
category,39,everquest 2,everquest-2,,EverQuest II,MMOs
category,418,Facebook Games,facebook-games,,Facebook Games,Gaming Hardware & Platforms
category,375,ff3,ff3,,Final Fantasy III,RPGs (Video Games)
category,377,ffxiv,ffxiv,,Final Fantasy XIV,RPGs (Video Games)
category,2300,Fiction,fiction,,Fiction,Blogging & Meta
category,350,Final Fantasy,final-fantasy,,Final Fantasy,RPGs (Video Games)
category,52,final fantasy,final-fantasy,,Final Fantasy,RPGs (Video Games)
category,1503,Final Fantasy Origins,final-fantasy-origins,final-fantasy,Final Fantasy Origins,RPGs (Video Games)
category,360,final fantasy xi,final-fantasy-xi,,Final Fantasy Xi,RPGs (Video Games)
category,2257,Final Fantasy XII,final-fantasy-xii,final-fantasy,Final Fantasy Xii,RPGs (Video Games)
category,170,final fantasy xiv,final-fantasy-xiv,,Final Fantasy Xiv,RPGs (Video Games)
category,395,flamecraft,flamecraft,,Flamecraft,Board Games
category,854,florensia,florensia,,Florensia,Gaming Culture & Commentary
category,419,Fortune League,fortune-league-facebook-games,facebook-games,Fortune League,Gaming Culture & Commentary
category,353,free realms,free-realms,,Free Realms,Gaming Culture & Commentary
category,420,Frontierville,frontierville,facebook-games,Frontierville,Gaming Culture & Commentary
category,1855,Game Development,game-development,,Game Development,Game Development & Design
category,143,Game Night,game-night,,Game Night,Board Games
category,90,game night,game-night,,Game Night,Board Games
category,421,General,general,,General,Blogging & Meta
category,2168,Generative AI,generative-ai,,Generative AI,"AI, Tools & Technology"
category,91,gloomhaven,gloomhaven,,Gloomhaven,Board Games
category,72,godville,godville,,Godville,Board Games
category,179,greedfall,greedfall,,Greedfall,RPGs (Video Games)
category,913,Guild Wars,guild-wars,,Guild Wars,MMOs
category,1609,Horizon Forbidden West,horizon-forbidden-west,,Horizon Forbidden West,Gaming Culture & Commentary
category,422,Humor,humor,general,Humor,Blogging & Meta
category,957,Humor,humor,,Humor,Blogging & Meta
category,2174,Intellivision,intellivision,,Intellivision,Retro Gaming
category,308,kickstarter,kickstarter,,Kickstarter,Gaming Industry & News
category,423,Kickstarter,kickstarter,,Kickstarter,Gaming Industry & News
category,424,League of Cruelty,league-of-cruelty,humor,League of Cruelty,Gaming Culture & Commentary
category,1019,Legends of Zork,legends-of-zork,,Legends of Zork,Gaming Culture & Commentary
category,1024,LittleBigPlanet,littlebigplanet,,Littlebigplanet,Gaming Hardware & Platforms
category,1479,Lord of the Chords,lord-of-the-chords,,Lord of the Chords,Blogging & Meta
category,357,lord of the rings online,lord-of-the-rings-online,,Lord of the Rings Online,Gaming Culture & Commentary
category,49,love,love,,Love,Blogging & Meta
category,2061,Metric Time,metric-time,general,Metric Time,Blogging & Meta
category,2169,Midjourney,midjourney,generative-ai,Midjourney,"AI, Tools & Technology"
category,243,minecraft,minecraft,,Minecraft,Gaming Hardware & Platforms
category,80,miniatures,miniatures,,Miniatures,Miniatures & Wargaming
category,147,Miniatures,miniatures,,Miniatures,Miniatures & Wargaming
category,138,MMO,mmo,,MMORPG,RPGs (Video Games)
category,48,mmo,mmo,,MMORPG,RPGs (Video Games)
category,425,MMOs,mmos,,MMORPG,RPGs (Video Games)
category,144,Mobile Games,mobile-games,,Mobile Games,Gaming Hardware & Platforms
category,2353,Monster Hunter,monster-hunter,mmos,Monster Hunter,RPGs (Video Games)
category,2055,Monsters &amp; Memories,monsters-memories,mmos,Monsters & Memories,MMOs
category,1923,Movies,movies,general,Movies,Gaming Culture & Commentary
category,426,My Empire,my-empire,facebook-games,My Empire,Game Development & Design
category,1493,my little scythe,my-little-scythe,,My Little Scythe,Board Games
category,427,My Work,it-stuff,general,My Work,Blogging & Meta
category,1482,Mystery Dice,mystery-dice,,Mystery Dice,Tabletop RPGs (TTRPGs)
category,1085,Mythos,mythos,,Mythos,Gaming Culture & Commentary
category,428,Mythos,mythos,mmos,Mythos,Gaming Culture & Commentary
category,429,Nationstates,nationstates,mmos,Nationstates,Gaming Culture & Commentary
category,430,Need For Speed World,need-for-speed-world,mmos,Need for Speed World,Gaming Culture & Commentary
category,431,Neo Steam,neo-steam,mmos,Neo Steam,Gaming Culture & Commentary
category,172,neopets,neopets,,Neopets,MMOs
category,432,Neverwinter,neverwinter,mmos,Neverwinter,Gaming Culture & Commentary
category,338,new world,new-world,,New World,MMOs
category,1499,New World,new-world,mmos,New World,MMOs
category,1532,NFT,nft,blockchain,NFT,Gaming Industry & News
category,1635,Nintendo 64,nintendo-64,,Nintendo 64,Retro Gaming
category,140,Nintendo Switch,switch,,Nintendo Switch,Gaming Hardware & Platforms
category,1769,No Man's Sky,no-mans-sky,mmos,No Man's Sky,Gaming Industry & News
category,75,nostalgia the guild,nostalgia-the-guild,,Nostalgia the Guild,Gaming Culture & Commentary
category,1506,Old School Runescape,old-school-runescape,mmos,Old School Runescape,MMOs
category,433,One Panel Comix,one-panel-comix,humor,One Panel Comix,Blogging & Meta
category,284,Open World RPG,open-world-rpg,,Open World RPG,RPGs (Video Games)
category,1777,OpenAI,openai,,OpenAI,"AI, Tools & Technology"
category,434,Other Games,other-games,,Other Games,Gaming Culture & Commentary
category,1955,Palia,palia,mmos,Palia,MMOs
category,2111,Palworld,palworld,open-world-rpg,Palworld,Gaming Industry & News
category,2063,Pantheon: Rise of the Fallen,pantheon-rise-of-the-fallen,mmos,Pantheon: Rise of the Fallen,MMOs
category,1768,Path of Exile,path-of-exile,mmos,Path of Exile,RPGs (Video Games)
category,1550,Pawnbarian,pawnbarian,other-games,Pawnbarian,Board Games
category,1828,Petalica Paint,petalica-paint,,Petalica Paint,"AI, Tools & Technology"
category,435,Pi Story,pi-story-mmos,mmos,Pi Story,Blogging & Meta
category,436,Pillars of Eternity,pillars-of-eternity,other-games,Pillars of Eternity,RPGs (Video Games)
category,437,Pirate101,pirate101,mmos,Pirate101,Gaming Culture & Commentary
category,438,Pirates of the Burning Sea,potbs,mmos,Pirates of the Burning Sea,Gaming Culture & Commentary
category,1910,Pokemon,pokemon,,Pokemon,RPGs (Video Games)
category,439,Project Powder,project-powder-other-games,other-games,Project Powder,Gaming Culture & Commentary
category,1942,Project: Gorgon,project-gorgon,mmos,Project: Gorgon,Board Games
category,1552,PS2,ps2,,PS2,Retro Gaming
category,1944,PS3,ps3,,PS3,Gaming Hardware & Platforms
category,56,ps4,ps4,,PS4,Gaming Hardware & Platforms
category,139,PS4,ps4,,PS4,Gaming Hardware & Platforms
category,283,PS5,ps5,,PS5,Gaming Hardware & Platforms
category,288,ps5,ps5,,PS5,Gaming Hardware & Platforms
category,440,Puyo Puyo,puyo-puyo,other-games,Puyo Puyo,Retro Gaming
category,326,Puzzle Games,puzzle-games,,Puzzle Games,Indie Games
category,321,Quick Takes,quick-takes,,Quick Takes,Game Reviews & First Impressions
category,379,real life,real-life,,Real Life,Blogging & Meta
category,141,Real Life,real-life,,Real Life,Blogging & Meta
category,257,Real Time Strategy,real-time-strategy,,Real Time Strategy,Strategy & 4X Games
category,441,Realm of the Mad God,realm-of-the-mad-god,mmos,Realm of the Mad God,Board Games
category,442,Recettear,recettear,other-games,Recettear,Gaming Culture & Commentary
category,443,Redshirt,redshirt,other-games,Redshirt,Blogging & Meta
category,396,return to dark tower,return-to-dark-tower,,Return to Dark Tower,Board Games
category,1801,Review,review,general,Review,Game Reviews & First Impressions
category,315,Rhythm Games,rhythm-games,,Rhythm Games,Gaming Hardware & Platforms
category,345,rift,rift,,Rift,MMOs
category,444,Rift,rift,mmos,Rift,MMOs
category,445,Rock Band,rock-band-other-games,other-games,Rock Band,Gaming Hardware & Platforms
category,266,Rogue-likes,rogue-likes,,Rogue-Likes,Indie Games
category,446,Roll20,roll20,kickstarter,Roll20,Tabletop RPGs (TTRPGs)
category,447,Runes of Magic,runes-of-magic-mmos,mmos,Runes of Magic,Board Games
category,1601,Salt and Sanctuary,salt-and-sanctuary,other-games,Salt and Sanctuary,RPGs (Video Games)
category,448,Sci Fi,sci-fi,general,Sci Fi,Gaming Culture & Commentary
category,102,Scythe,scythe,,Scythe,Board Games
category,449,Second Life,second-life,mmos,Second Life,Gaming Culture & Commentary
category,89,set a watch,set-a-watch,,Set a Watch,Board Games
category,450,Shin Megami Tensei,shin-megami-tensei,mmos,Shin Megami Tensei,RPGs (Video Games)
category,451,Shin Megami Tensei: Imagine,shin-megami-tensei-imagine,mmos,Shin Megami Tensei: Imagine,RPGs (Video Games)
category,1498,Ship of Heroes,ship-of-heroes,mmos,Ship of Heroes,MMOs
category,380,ship of heroes,ship-of-heroes,,Ship of Heroes,MMOs
category,330,Shooter,shooter,,Shooter,Gaming Hardware & Platforms
category,331,Shooter,shooter,,Shooter,Gaming Hardware & Platforms
category,354,shroud of the avatar,shroud-of-the-avatar,,Shroud of the Avatar,MMOs
category,452,Shroud of the Avatar,shroud-of-the-avatar,mmos,Shroud of the Avatar,MMOs
category,453,SimCity 2013,simcity-2013,mmos,Simcity 2013,Strategy & 4X Games
category,454,SimCity 3,simcity-3,mmos,Simcity 3,Retro Gaming
category,1883,Skyrim,skyrim,other-games,Skyrim,RPGs (Video Games)
category,1817,Souls-like,souls-like,,Souls-Like,RPGs (Video Games)
category,1285,Spore,spore,,Spore,Strategy & 4X Games
category,455,Spore,spore,other-games,Spore,Strategy & 4X Games
category,1935,Star Citizen,star-citizen,mmos,Star Citizen,MMOs
category,456,Star Command Galaxies,star-command-galaxies,other-games,Star Command Galaxies,Gaming Culture & Commentary
category,457,Star Corsairs,star-corsairs,mmos,Star Corsairs,Gaming Culture & Commentary
category,458,Star Trek Online,star-trek-online,mmos,Star Trek Online,Gaming Culture & Commentary
category,339,star trek online,star-trek-online,,Star Trek Online,Gaming Culture & Commentary
category,459,Star Wars The Old Republic,star-wars-the-old-republic,mmos,Star Wars the Old Republic,MMOs
category,362,star wars: the old republic,star-wars-the-old-republic,,Star Wars: the Old Republic,MMOs
category,2038,Starfield,starfield,other-games,Starfield,RPGs (Video Games)
category,2339,Stars Reach,stars-reach,mmos,Stars Reach,MMOs
category,2129,Starship Simulator,starship-simulator,kickstarter,Starship Simulator,Game Development & Design
category,142,Steam Games,steam-games,,Steam Games,Gaming Hardware & Platforms
category,460,Stout Henry,stout-henry-humor-general,humor,Stout Henry,Blogging & Meta
category,1307,Straight Talk Warhammer,straight-talk-warhammer,,Straight Talk Warhammer,Miniatures & Wargaming
category,251,Super Nintendo,super-nintendo,,Super Nintendo,Retro Gaming
category,332,Survival,survival,,Survival,Gaming Industry & News
category,334,survival,survival,,Survival,Gaming Industry & News
category,4,Switch,switch,,Switch,Gaming Hardware & Platforms
category,1906,Sword Art Online Fatal Bullet,sword-art-online-fatal-bullet,other-games,Sword Art Online Fatal Bullet,MMOs
category,461,Sword Coast Legends,sword-coast-legends,mmos,Sword Coast Legends,Gaming Culture & Commentary
category,2421,Sword Hero,sword-hero,other-games,Sword Hero,Gaming Culture & Commentary
category,146,Tabletop Games,tabletop-games,,Tabletop Games,Board Games
category,462,Tabula Rasa,tabula-rasa,mmos,Tabula Rasa,MMOs
category,307,Tactical RPG,tactical-rpg,,Tactical RPG,Strategy & 4X Games
category,1523,Tales from the Loop,tales-from-the-loop,tabletop-games,Tales From the Loop,Tabletop RPGs (TTRPGs)
category,1481,Tales from the Loop,tales-from-the-loop,,Tales From the Loop,Tabletop RPGs (TTRPGs)
category,1500,Terra Randoma,terra-randoma,other-games,Terra Randoma,Blogging & Meta
category,1518,Terraforming Mars,terraforming-mars,tabletop-games,Terraforming Mars,Board Games
category,110,terraforming mars,terraforming-mars,,Terraforming Mars,Board Games
category,1507,The Elder Scrolls Online,the-elder-scrolls-online,mmos,The Elder Scrolls Online,RPGs (Video Games)
category,1570,The Loot Project,the-loot-project,blockchain,The Loot Project,Blogging & Meta
category,1941,The Secret World,the-secret-world,mmos,The Secret World,Gaming Culture & Commentary
category,2134,THE400 Mini,the400-mini,,THE400 Mini,Gaming Hardware & Platforms
category,463,TinyGame2010,tinygame2010,other-games,Tinygame2010,Game Development & Design
category,464,TIS-100,tis-100,other-games,TIS-100,Game Development & Design
category,16,TIS-100,tis-100,,TIS-100,Game Development & Design
category,465,Torchlight,torchlight,other-games,Torchlight,RPGs (Video Games)
category,12,torchlight,torchlight,,Torchlight,RPGs (Video Games)
category,466,Torchlight 2,torchlight-2,other-games,Torchlight 2,RPGs (Video Games)
category,390,townscaper,townscaper,,Townscaper,Gaming Culture & Commentary
category,467,Treasure Abyss,treasure-abyss,facebook-games,Treasure Abyss,Gaming Culture & Commentary
category,410,Trends,trends,,Trends,Gaming Industry & News
category,1734,Turn-based RPGs,turn-based-rpgs,trends,Turn-Based Rpgs,RPGs (Video Games)
category,468,TV Recaps,tv-recaps,general,Tv Recaps,Gaming Culture & Commentary
category,1940,Ultima Online,ultima-online,mmos,Ultima Online,MMOs
category,1,Uncategorized,uncategorized,,Uncategorized,Blogging & Meta
category,1546,Unexplored 2,unexplored-2,other-games,Unexplored 2,Gaming Culture & Commentary
category,1620,V Rising,v-rising,,V Rising,Gaming Culture & Commentary
category,1509,Valheim,valheim,other-games,Valheim,Gaming Culture & Commentary
category,333,valheim,valheim,,Valheim,Gaming Culture & Commentary
category,469,Valkyria Chronicles,valkyria-chronicles,other-games,Valkyria Chronicles,Strategy & 4X Games
category,2114,Vandal Hearts,vandal-hearts,other-games,Vandal Hearts,Strategy & 4X Games
category,470,Vanguard,vanguard,mmos,Vanguard,MMOs
category,169,vanguard,vanguard,,Vanguard,MMOs
category,2110,Vectrex,vectrex,,Vectrex,Retro Gaming
category,411,Video Game,video-game,trends,Video Game,Gaming Culture & Commentary
